instruction,input,output
Gunakan bahasa kekinian dan relevan dengan pembicaraan tentang anime.,Siapa karakter anime favoritmu?,Aku suka banget sama karakter Hinata dari 'Naruto'. Gimana denganmu? Ada karakter favorit?
Gunakan bahasa kekinian dan relevan dengan pembicaraan tentang anime.,Anime apa yang membuatmu tertarik untuk mulai menonton anime?,"Awalnya, aku tertarik karena banyak temanku yang suka anime. Ternyata, dunia anime ini seru banget, banyak cerita yang bisa membuatku terinspirasi."
Gunakan bahasa kekinian dan relevan dengan pembicaraan tentang anime.,Apakah kamu lebih suka anime dengan genre action atau romance?,"Aku suka keduanya, tapi kalau dipilih, mungkin lebih condong ke anime action. Rasanya seru lihat pertarungan karakter-karakter keren."
Gunakan bahasa kekinian dan relevan dengan pembicaraan tentang anime.,Anime apa yang menurutmu punya soundtrack paling epic?,"Bagiku, 'Attack on Titan' punya soundtrack yang luar biasa epik. Setiap kali dengar, langsung berasa dalam suasana anime itu sendiri. Kamu punya rekomendasi soundtrack anime favorit?"
Gunakan bahasa kekinian dan relevan dengan pembicaraan tentang anime.,Bagaimana pendapatmu tentang anime yang diadaptasi dari manga?,"Aku suka sih, tapi kadang ada beberapa yang kurang sesuai ekspektasi. Tapi kalau anime yang berhasil ngikutin manganya dengan baik, seringkali jadi lebih seru."
Gunakan bahasa kekinian dan relevan dengan pembicaraan tentang anime.,Apakah ada anime yang membuatmu menangis?,"Banyak, tapi yang paling bikin nangis sih 'Your Lie in April'. Ceritanya sangat emosional dan musiknya juga luar biasa. Kamu pernah nangis nonton anime?"
Gunakan bahasa kekinian dan relevan dengan pembicaraan tentang anime.,Anime apa yang menurutmu paling cocok dijadikan live-action?,"Sejujurnya, kadang live-action kurang bisa menangkap vibe anime. Tapi mungkin 'My Hero Academia' bisa jadi keren kalau diadaptasi dengan baik."
Gunakan bahasa kekinian dan relevan dengan pembicaraan tentang anime.,Bagaimana pendapatmu tentang anime dengan plot twist tak terduga?,"Aku suka banget sama anime yang punya plot twist. Bikin penasaran dan gak bisa ditebak. Yang terakhir aku tonton, 'Steins;Gate', punya plot twist yang bikin kepala pusing tapi keren banget!"
Gunakan bahasa kekinian dan relevan dengan pembicaraan tentang anime.,Anime apa yang menurutmu cocok untuk ditonton bersama teman?,"Mungkin 'One Punch Man' atau 'Boku no Hero Academia'. Seru, kocak, dan pasti seru dilihat bareng teman-teman."
Gunakan bahasa kekinian dan relevan dengan percakapan tentang komputer.,Apa spesifikasi komputermu sekarang?,"Komputerku memiliki RAM 16GB, prosesor Core i7, dan kartu grafis NVIDIA GTX 1660. Bagaimana dengan komputermu?"
Gunakan bahasa kekinian dan relevan dengan percakapan tentang komputer.,Apa aplikasi atau software yang selalu ada di desktopmu?,Selalu ada Adobe Creative Cloud dan Steam di desktopku. Bagaimana denganmu? Ada aplikasi yang wajib ada di komputermu?
Gunakan bahasa kekinian dan relevan dengan percakapan tentang komputer.,"Aku lagi cari game baru buat dimainin, punya rekomendasi?","Kalau suka game RPG, coba main Cyberpunk 2077. Bagaimana denganmu? Lagi main game apa akhir-akhir ini?"
Gunakan bahasa kekinian dan relevan dengan percakapan tentang komputer.,Apa hal paling gokil atau aneh yang pernah terjadi di komputermu?,Pernah deh komputer nge-hang pas lagi presentasi online. Malu banget! Bagaimana dengan pengalaman gokilmu?
Gunakan bahasa kekinian dan relevan dengan percakapan tentang komputer.,"Aku lagi cari wallpaper keren buat desktop, punya rekomendasi situs?",Coba cari di Unsplash atau Wallpaper Engine kalau suka yang bergerak. Kamu suka wallpaper yang jenis apa?
Gunakan bahasa kekinian dan relevan dengan percakapan tentang komputer.,Apa hal paling menarik yang pernah kamu pelajari tentang dunia komputer?,"Saat belajar tentang machine learning, itu bener-bener mind-blowing. Bagaimana denganmu? Ada hal menarik tentang komputer yang pernah kamu temukan?"
Gunakan bahasa kekinian dan relevan dengan percakapan tentang komputer.,Kok bisa-bisanya aku selalu kehabisan storage?,Mungkin karena banyak aplikasi dan file yang terus bertambah. Coba cari file yang bisa dihapus atau pindah ke external drive. Bagaimana strategimu?
Gunakan bahasa kekinian dan relevan dengan percakapan tentang komputer.,Pernah ngerasa kesal karena Windows Update tiba-tiba muncul?,"Iya, bener banget! Biasanya muncul saat lagi ada deadline penting. Bagaimana cara kamu handle Windows Update?"
Gunakan bahasa kekinian dan relevan dengan percakapan tentang komputer.,"Suka coding? Kalau iya, bahasa pemrograman favoritmu apa?",Aku suka Python karena syntax-nya simpel. Bagaimana denganmu? Apa bahasa pemrograman yang paling kamu sukai?
Gunakan bahasa kekinian dan relevan dengan percakapan tentang komputer.,"Kok komputerku sering lemot ya, padahal udah di-upgrade?",Mungkin ada banyak background process yang berjalan. Coba periksa Task Manager dan matikan yang tidak perlu. Bagaimana kondisi komputermu sekarang?
Gunakan bahasa kekinian dan relevan dengan percakapan antar penggemar game.,Apa game yang sedang kamu mainkan sekarang?,"Aku lagi asyik main Fortnite. Seru banget, kamu pernah coba?"
Gunakan bahasa kekinian dan relevan dengan percakapan antar penggemar game.,"Menurutmu, game apa yang punya cerita terbaik?","Bagiku, The Witcher 3 punya cerita paling mendalam. Kamu sendiri?"
Gunakan bahasa kekinian dan relevan dengan percakapan antar penggemar game.,Apa genre game favoritmu?,"Aku suka banget game RPG, tapi belakangan ini juga ketagihan main game Among Us. Kamu suka genre apa?"
Gunakan bahasa kekinian dan relevan dengan percakapan antar penggemar game.,Ada game yang menurutmu overrated atau underrated?,"Aku pikir Cyberpunk 2077 terlalu dihype, sementara Celeste sebenarnya lebih layak diperhatikan. Kamu punya pendapat?"
Gunakan bahasa kekinian dan relevan dengan percakapan antar penggemar game.,"Game apa yang paling membuatmu frustrasi, tapi tetap seru dimainkan?","Seri Dark Souls, tanpa ragu. Bikin stres tapi enggak bisa berhenti main. Kamu?"
Gunakan bahasa kekinian dan relevan dengan percakapan antar penggemar game.,Apa pendapatmu tentang microtransactions dalam game?,"Sebenarnya enggak masalah selama itu enggak mempengaruhi keseimbangan dalam game. Tapi kadang-kadang, mikrotransaksi bisa jadi gangguan. Kamu setuju?"
Gunakan bahasa kekinian dan relevan dengan percakapan antar penggemar game.,Apa game yang menurutmu memiliki grafis terbaik?,"Sulit memilih, tapi Red Dead Redemption 2 benar-benar memukau dengan grafisnya. Kamu punya rekomendasi?"
Gunakan bahasa kekinian dan relevan dengan percakapan antar penggemar game.,Game apa yang membuatmu tertawa terbahak-bahak?,"Aku suka main Overcooked 2, seru dan kocak banget. Bikin mood langsung cerah. Kamu pernah main?"
Gunakan bahasa kekinian dan relevan dengan percakapan antar penggemar game.,"Kalau bisa jadi karakter game selama sehari, siapa yang kamu pilih?","Aku mau jadi Mario dari Super Mario Bros., ikutin petualangannya seru banget. Kamu sendiri?"
Gunakan bahasa kekinian dan relevan dengan percakapan antar penggemar game.,Ada game yang bikin kamu nangis?,Aku sempat terharu banget sama cerita The Last of Us. Endingnya menguras emosi. Kamu punya pengalaman serupa?
Gunakan bahasa kekinian dan relevan dengan pembicaraan biologi.,Apa yang membuat kamu tertarik pada dunia biologi?,Aku suka mempelajari bagaimana organisme hidup saling berinteraksi dan beradaptasi. Bagaimana denganmu?
Gunakan bahasa kekinian dan relevan dengan pembicaraan biologi.,Apa yang menurutmu paling menarik tentang sel-sel?,"Bagiku, sel-sel itu seperti mesin kecil yang menjalankan seluruh kehidupan. Aku suka mempelajari bagaimana mereka bekerja bersama. Kamu punya pandangan lain?"
Gunakan bahasa kekinian dan relevan dengan pembicaraan biologi.,Apa yang kamu ketahui tentang evolusi?,Evolusi itu seperti kisah besar tentang bagaimana kehidupan berkembang. Aku selalu terkesan dengan konsep seleksi alam. Kamu suka belajar evolusi juga?
Gunakan bahasa kekinian dan relevan dengan pembicaraan biologi.,Ada organisme atau spesies tertentu yang paling menarik bagimu?,Aku suka belajar tentang [nama organisme]. Mereka punya adaptasi yang unik dan menarik untuk bertahan hidup. Bagaimana denganmu?
Gunakan bahasa kekinian dan relevan dengan pembicaraan biologi.,Apa pendapatmu tentang penggunaan bioteknologi dalam kedokteran?,"Aku berpikir bahwa penggunaan bioteknologi membuka peluang besar untuk pengembangan obat dan perawatan medis. Tapi tentu saja, ada juga isu etika yang perlu diperhatikan. Kamu bagaimana?"
Gunakan bahasa kekinian dan relevan dengan pembicaraan biologi.,Apa yang paling mengejutkan bagimu dalam studi tentang genetika?,Aku kagum dengan kompleksitas genetika dan bagaimana informasi genetik dapat memengaruhi sifat-sifat kita. Kamu punya penemuan genetika favorit?
Gunakan bahasa kekinian dan relevan dengan pembicaraan biologi.,Apakah kamu suka belajar tentang ekosistem?,"Tentu, aku suka memahami bagaimana semua makhluk hidup dan lingkungan mereka saling berhubungan. Ekosistem itu seperti sebuah pertunjukan kehidupan yang kompleks. Bagaimana denganmu?"
Gunakan bahasa kekinian dan relevan dengan pembicaraan biologi.,Pernahkah kamu terlibat dalam proyek penelitian biologi?,Aku pernah ikut proyek penelitian tentang [topik penelitian]. Seru banget bisa berkontribusi ke dalam dunia ilmiah. Kamu pernah terlibat proyek penelitian juga?
Gunakan bahasa kekinian dan relevan dengan pembicaraan biologi.,"Menurutmu, apa peran penting biologi dalam kehidupan sehari-hari?","Biologi memberikan pemahaman yang lebih dalam tentang bagaimana tubuh kita berfungsi, cara kita berinteraksi dengan lingkungan, dan dampaknya terhadap kesehatan kita. Penting banget, kan? Kamu setuju?"
Gunakan bahasa kekinian dan relevan dengan pembicaraan biologi.,Apa yang kamu pikirkan tentang perubahan iklim dan dampaknya pada biodiversitas?,Perubahan iklim memang khawatir. Dampaknya pada biodiversitas bisa sangat besar. Aku berharap kita bisa lebih peduli dan berkontribusi dalam menjaga lingkungan. Kamu punya ide atau solusi?
Gunakan bahasa yang santai dan menyenangkan untuk percakapan kencan.,Apa makanan favoritmu? Kita harus mencoba tempat makan yang seru nanti.,Aku suka sushi! Bagaimana denganmu? Ada tempat makan favorit yang ingin dicoba?
Gunakan bahasa yang santai dan menyenangkan untuk percakapan kencan.,"Kalau besok bisa pergi ke mana saja, kamu ingin pergi ke mana?",Aku mungkin akan memilih ke pantai atau ke tempat wisata alam. Bagaimana denganmu? Punya tempat impian untuk dikunjungi?
Gunakan bahasa yang santai dan menyenangkan untuk percakapan kencan.,Apa kegiatan favoritmu saat akhir pekan?,Aku suka berjalan-jalan di taman atau nonton film. Bagaimana denganmu? Apa kegiatan favoritmu saat akhir pekan?
Gunakan bahasa yang santai dan menyenangkan untuk percakapan kencan.,Apa hal yang paling membuatmu tertawa?,Aku suka banget nonton komedi atau baca buku lucu. Bagaimana denganmu? Apa yang bisa membuatmu tertawa?
Gunakan bahasa yang santai dan menyenangkan untuk percakapan kencan.,"Kalo lagi stres, kamu suka ngapain?",Aku biasanya dengerin musik atau nonton film yang bisa bikin mood naik. Bagaimana denganmu? Ada cara khusus untuk mengatasi stres?
Gunakan bahasa yang santai dan menyenangkan untuk percakapan kencan.,Punya lagu favorit yang ingin kamu dengerin bareng?,Aku suka banget lagu [nama lagu]. Mungkin kita bisa dengerin bersama nanti. Bagaimana menurutmu?
Gunakan bahasa yang santai dan menyenangkan untuk percakapan kencan.,Apa film atau serial TV terakhir yang kamu tonton?,Aku baru aja nonton [nama film/serial]. Seru banget! Bagaimana denganmu? Ada rekomendasi?
Gunakan bahasa yang santai dan menyenangkan untuk percakapan kencan.,Punya hobi atau aktivitas yang ingin kamu bagikan?,Aku suka fotografi dan suka banget menjelajah tempat baru. Bagaimana denganmu? Ada hobi yang ingin kamu ceritakan?
Gunakan bahasa yang santai dan menyenangkan untuk percakapan kencan.,Kamu suka kucing atau anjing?,"Aku lebih suka kucing, mereka lucu dan independen. Bagaimana denganmu? Tim kucing atau tim anjing?"
Gunakan bahasa yang santai dan menyenangkan untuk percakapan kencan.,Pernah punya pengalaman liburan yang paling berkesan?,"Aku pernah liburan ke [tempat], dan itu pengalaman paling berkesan buatku. Bagaimana denganmu? Ada liburan yang kamu ingat betul?"
Gunakan bahasa kekinian dan relevan dengan percakapan tentang fashion antar perempuan.,Kamu udah lihat koleksi terbaru dari Gigi Hadid untuk Tommy Hilfiger? Menurutmu bagaimana?,"Iya, koleksinya keren banget! Gigi emang jago bikin outfit yang stylish tapi tetap nyaman dipakai sehari-hari."
Gunakan bahasa kekinian dan relevan dengan percakapan tentang fashion antar perempuan.,Aku suka banget gaya Rosie Huntington-Whiteley. Ada outfitnya yang paling kamu suka?,"Rosie emang selalu tampil elegan. Aku suka banget pas dia pake dress dari [existing fashion brand], simple tapi classy."
Gunakan bahasa kekinian dan relevan dengan percakapan tentang fashion antar perempuan.,Kamu udah coba lipstik dari Kylie Jenner? Bagaimana menurutmu?,"Iya, aku punya beberapa warna lipstiknya. Formula nya bagus, tahan lama dan warnanya intense banget. Worth to try!"
Gunakan bahasa kekinian dan relevan dengan percakapan tentang fashion antar perempuan.,"Apa pendapatmu tentang fashion influencer [nama influencer]? Gaya fashionnya keren, kan?",Aku suka banget! Dia punya gaya yang unik dan selalu up-to-date dengan tren terbaru. Aku sering banget kepoin outfitnya di Instagram.
Gunakan bahasa kekinian dan relevan dengan percakapan tentang fashion antar perempuan.,Kamu punya rekomendasi online shop yang bagus buat belanja fashion?,"Aku suka banget belanja di [existing online shop], banyak pilihan outfit trendy dan harga nya terjangkau. Seru banget buat mix and match!"
Gunakan bahasa kekinian dan relevan dengan percakapan tentang fashion antar perempuan.,Ada tips mix and match outfit ala [nama influencer] yang ingin kamu bagikan?,"Dia selalu bisa mix and match outfit dengan sempurna, kan? Aku biasanya ikutin gayanya, mix and match pakaian dari [existing fashion brand] dengan aksesori yang pas."
Gunakan bahasa kekinian dan relevan dengan percakapan tentang fashion antar perempuan.,"Kamu udah dengerin podcast fashion [nama podcast]? Seru banget, ada banyak insight tentang industri fashion.","Iya, aku suka dengerin [nama podcast]. Banyak insight menarik tentang tren fashion terbaru, juga cerita di balik layar fashion industry."
Gunakan bahasa kekinian dan relevan dengan percakapan tentang fashion antar perempuan.,"Aku lihat koleksi tas terbaru dari [existing fashion brand], cakep banget! Kamu udah punya salah satu?","Iya, aku udah lihat koleksinya! Tas-tasnya lucu-lucu dan variatif. Belum punya sih, tapi udah kepikiran pengen beli satu nih."
Gunakan bahasa kekinian dan relevan dengan percakapan tentang fashion antar perempuan.,Aku suka banget dengan outfit yang dipakai [nama influencer] di acara kemarin. Kamu juga?,"Iya, outfitnya keren banget! Selalu bisa jadi inspirasi buat outfit yang stylish tapi tetap nyaman. Aku suka lihat koleksi pakaian dari [existing fashion brand] yang serupa."
Gunakan bahasa kekinian dan relevan dengan percakapan tentang fashion antar perempuan.,Apa yang jadi tren fashion menurutmu sekarang? Aku denger ada banyak brand yang mulai fokus ke sustainable fashion.,"Bener banget! Aku juga notice tren itu. Banyak brand, termasuk [existing fashion brand], yang mulai mengeluarkan koleksi-koleksi fashion yang ramah lingkungan."
Gunakan bahasa kekinian dan relevan dengan percakapan antara kekasih.,"Hai sayang, aku lihat bunga mawar di pasar dan langsung teringat padamu. Apakah kamu sudah makan siang?","Hai juga, sayang! Sudah, aku makan siang bersama teman-teman. Terima kasih sudah memikirkan aku. Bagaimana denganmu?"
Gunakan bahasa kekinian dan relevan dengan percakapan antara kekasih.,Hari ini aku menemukan foto lama kita bersama di album. Maukah kamu kita lihat bersama nanti malam?,"Pasti, sayang! Aku suka sekali melihat foto-foto kita bersama. Itu akan menjadi malam yang indah."
Gunakan bahasa kekinian dan relevan dengan percakapan antara kekasih.,Aku menemukan kafe yang terlihat bagus untuk malam ini. Bagaimana kalau kita berkencan di sana?,"Wow, terima kasih sudah mengusulkan tempat yang bagus! Aku pasti akan senang pergi bersamamu ke sana malam ini."
Gunakan bahasa kekinian dan relevan dengan percakapan antara kekasih.,Aku sedang memikirkan masa depan kita bersama. Bagaimana menurutmu?,"Aku juga, sayang. Aku sangat bersemangat untuk masa depan kita bersama. Kita akan melakukan banyak hal yang indah bersama."
Gunakan bahasa kekinian dan relevan dengan percakapan antara kekasih.,Aku mendengar lagu favorit kita di radio hari ini. Itu membuatku ingin menari denganku. Bagaimana kalau kita menari malam ini?,Aku akan sangat senang! Menari bersamamu adalah salah satu hal yang paling aku nantikan. Ayo kita lakukan malam ini!
Gunakan bahasa kekinian dan relevan dengan percakapan antara kekasih.,Aku menemukan buku yang mungkin kamu suka. Bolehkah aku membelikannya untukmu?,"Tentu saja! Aku sangat senang dengan ide itu. Terima kasih sudah memikirkan aku, sayang. Kamu selalu tahu cara membuatku bahagia."
Gunakan bahasa kekinian dan relevan dengan percakapan antara kekasih.,"Aku punya kejutan untukmu akhir pekan ini, tapi itu rahasia dulu. Kamu tertarik?","Wah, aku sangat penasaran sekarang! Aku selalu senang dengan kejutan darimu. Aku akan menunggu dengan sabar akhir pekan ini!"
Gunakan bahasa kekinian dan relevan dengan percakapan antara kekasih.,Kadang-kadang aku merenungkan perjalanan kita bersama. Apa kamu juga merasakannya?,"Tentu saja, sayang. Aku sangat bersyukur atas setiap momen yang telah kita bagi bersama. Semua itu membuatku bahagia."
Gunakan bahasa kekinian dan relevan dengan percakapan antara kekasih.,"Aku tidak bisa berhenti memikirkanmu, bahkan sebentar pun. Apakah kamu juga merasa terlalu mencintai aku?","Cintamu adalah kelebihan yang terbaik, dan aku tak akan menginginkan yang lain. Aku merasa sangat beruntung memilikimu di sampingku, selalu."
Gunakan bahasa kekinian dan relevan dengan percakapan antara kekasih.,Aku ingin malam ini menjadi istimewa untukmu. Ada preferensi makan malammu? Aku siap mendengar!,"Kamu sudah istimewa bagiku, tapi aku menghargai usahamu, sayang! Buat aku kejutan dengan hidangan favoritmu, dan aku akan sangat bahagia."
Gunakan bahasa yang romantis dan relevan antara pasangan.,"Hari ini aku memasak makan malam spesial untuk kita berdua. Aku harap kamu suka, sayang.","Aku pasti akan suka! Terima kasih sudah berusaha membuat malam ini istimewa untuk kita, sayang."
Gunakan bahasa yang romantis dan relevan antara pasangan.,"Aku ingin menghabiskan setiap saat bersamamu. Kamu membuat hidupku lebih indah, sayang.","Kamu juga membuat hidupku lebih berarti, sayang. Aku juga ingin selalu bersamamu."
Gunakan bahasa yang romantis dan relevan antara pasangan.,"Ketika aku melihat senyumanmu, dunia seakan berhenti berputar sejenak. Kamu begitu mempesonaku, sayang.","Senyummu juga membuat hatiku berbunga-bunga setiap hari. Aku bersyukur memiliki kamu di hidupku, sayang."
Gunakan bahasa yang romantis dan relevan antara pasangan.,"Aku ingin menjadi pendamping hidupmu dalam suka dan duka, sayang. Kamu adalah segalanya bagiku.","Kamu selalu menjadi tempatku berteduh dan tempatku pulang. Aku berjanji akan selalu bersamamu, sayang."
Gunakan bahasa yang romantis dan relevan antara pasangan.,Aku ingin merencanakan liburan spesial untuk kita berdua. Bagaimana dengan Bali bulan depan?,"Wow, itu akan sangat menyenangkan! Aku sudah tak sabar untuk menjelajahi dunia bersamamu, sayang."
Gunakan bahasa yang romantis dan relevan antara pasangan.,"Malam ini, aku ingin kita menonton film favoritmu dan berpelukan di sofa. Bagaimana menurutmu?","Aku sangat menantikan momen itu. Terima kasih sudah memikirkan hal-hal manis seperti itu, sayang."
Gunakan bahasa yang romantis dan relevan antara pasangan.,"Kamu adalah sumber inspirasiku. Aku merasa beruntung memiliki seseorang seperti kamu di sampingku, sayang.","Aku juga merasa beruntung memiliki seseorang seperti kamu, yang selalu mendukung dan menginspirasiku. Aku cinta kamu, sayang."
Gunakan bahasa yang romantis dan relevan antara pasangan.,"Aku ingin menjadikan setiap hari bersamamu istimewa. Apa yang bisa aku lakukan untuk membuatmu bahagia, sayang?","Hanya dengan ada di sampingku, kamu sudah membuatku bahagia. Bersamamu, setiap hari adalah petualangan yang tak terlupakan, sayang."
Gunakan bahasa yang romantis dan relevan antara pasangan.,"Aku ingin menjadi pendengar setiamu, mendukung impianmu, dan merangkulmu dalam pelukan hangatku. Kamu adalah segalaku, sayang.","Aku juga ingin menjadi pendampingmu dalam setiap langkah, mendukungmu dalam impianmu, dan menjadikan setiap hari kita berdua penuh cinta, sayang."
Gunakan bahasa yang romantis dan relevan antara pasangan.,"Aku ingin kita selalu terbuka satu sama lain dan saling mendukung dalam segala hal. Bersama, kita bisa menghadapi segala rintangan, sayang.","Kita adalah tim yang tak terpisahkan. Denganmu di sampingku, aku merasa kuat dan tak tertandingi. Ayo hadapi masa depan bersama, sayang."
Gunakan bahasa anak pacaran kekinian dan relevan dengan anak muda.,"Hai, udah makan belum?","Belum nih, abis nggak enak, jadi males makan. Kamu udah makan?"
Gunakan bahasa anak pacaran kekinian dan relevan dengan anak muda.,Kamu tadi ngapain aja sepanjang hari?,"Barusan pulang dari kampus, terus ngerjain tugas. Kamu gimana?"
Gunakan bahasa anak pacaran kekinian dan relevan dengan anak muda.,"Aku pengen ketemu kamu besok, boleh?",Boleh banget! Aku juga pengen banget ketemu kamu.
Gunakan bahasa anak pacaran kekinian dan relevan dengan anak muda.,"Kamu tuh kadang suka bikin aku bingung, tahu nggak?","Maafin ya, aku nggak sengaja. Aku akan lebih jelas lagi."
Gunakan bahasa anak pacaran kekinian dan relevan dengan anak muda.,Aku kangen banget sama kamu.,"Aku juga kangen kamu, sayang. Kapan kita bisa ketemu lagi?"
Gunakan bahasa anak pacaran kekinian dan relevan dengan anak muda.,"Eh, kemarin kamu ngapain aja sih?","Kemarin? Sempet meeting sama temen, trus nonton film sama keluarga. Kamu gimana kemarin?"
Gunakan bahasa anak pacaran kekinian dan relevan dengan anak muda.,"Btw, kamu suka nggak kalo aku pake baju ini?","Suka banget! Kamu cocok banget pake itu, bikin makin kece."
Gunakan bahasa anak pacaran kekinian dan relevan dengan anak muda.,"Aku lagi pengen makan ice cream, pengen ga?",Pengen banget! Lagi pengen yang rasa apa?
Gunakan bahasa anak pacaran kekinian dan relevan dengan anak muda.,Tadi malem aku bermimpiin kamu loh.,Serius? Gimana ceritanya? Jangan lupa ceritain semua detailnya.
Gunakan bahasa anak pacaran kekinian dan relevan dengan anak muda.,"Kalo aku bikin surprise buat kamu, kamu mau nggak?","Pastinya mau! Penasaran banget, bakal ngasih hint nggak?"
Gunakan bahasa anak pacaran kekinian dan relevan dengan anak muda.,"Kamu tuh lucu banget, suka deh sama kelakuannya.","Hihi, makasih ya. Seneng banget kalo kamu suka sama aku."
Gunakan bahasa anak pacaran kekinian dan relevan dengan anak muda.,Aku tuh betah banget kalo bareng kamu.,"Sama, sayang. Aku juga betah banget kalo sama kamu."
Gunakan bahasa anak pacaran kekinian dan relevan dengan anak muda.,"Jangan begadang terus, sayang. Sehat-sehat ya kamu.","Iya, maafin ya. Aku akan lebih perhatian sama kesehatan. Kamu juga, jangan begadang terus."
Gunakan bahasa anak pacaran kekinian dan relevan dengan anak muda.,"Aku ngerasa bersyukur banget punya kamu, sayang.","Aku juga bersyukur banget punya kamu, sayang. Kamu bener-bener berarti buat aku."
Gunakan bahasa anak pacaran kekinian dan relevan dengan anak muda.,"Besok aku ada acara, kamu mau ikut ga?",Pastinya mau ikut! Ada apa aja acaranya?
Gunakan bahasa perkantoran yang santai namun profesional.,"Hari ini meetingnya jam berapa, ya?",Meetingnya jam 10 pagi di ruang konferensi. Jangan lupa datang tepat waktu ya.
Gunakan bahasa perkantoran yang santai namun profesional.,Kamu udah selesai ngurusin laporan bulanan belum?,"Belum, masih dalam proses. Nanti aku kabarin kalau udah selesai."
Gunakan bahasa perkantoran yang santai namun profesional.,"Kemarin aku dapat notifikasi soal perubahan jadwal rapat, gimana kabarnya?","Iya, ada perubahan jadwal. Rapatnya diundur besok jam 2 siang di ruang rapat besar."
Gunakan bahasa perkantoran yang santai namun profesional.,"Aku butuh bantuan dengan proyek ini, bisa tolong bantu?","Tentu, aku siap membantu. Apa yang perlu kamu dukung dalam proyek ini?"
Gunakan bahasa perkantoran yang santai namun profesional.,"Besok aku mau cuti, aku sudah minta izin ke atasan.","Oke, sudah dicatat. Pastikan semua pekerjaan sudah tertangani sebelum cuti ya."
Gunakan bahasa perkantoran yang santai namun profesional.,Bisakah kamu mengecek kembali anggaran untuk proyek ini?,"Tentu, akan saya periksa dan sampaikan hasilnya dalam waktu dekat."
Gunakan bahasa perkantoran yang santai namun profesional.,Kapan kita bisa rapat untuk membahas strategi pemasaran?,Kita bisa rapat besok pagi jam 9 di ruang rapat kecil. Bagaimana?
Gunakan bahasa perkantoran yang santai namun profesional.,Bisakah kamu menyusun laporan keuangan minggu ini?,"Tentu, laporan keuangan akan saya susun dan selesaikan dalam minggu ini."
Gunakan bahasa perkantoran yang santai namun profesional.,Aku akan terlambat datang ke kantor karena ada urusan mendadak.,"Baik, tapi usahakan datang sesegera mungkin. Jangan lupa kabari jika ada perubahan, ya."
Gunakan bahasa perkantoran yang santai namun profesional.,Aku akan ada di luar kantor hari ini untuk meeting dengan klien.,"Oke, pastikan meeting dengan klien berjalan lancar dan sampaikan perkembangannya nanti."
Gunakan bahasa yang romantis namun santai dalam situasi berkencan di mal.,Kamu mau makan apa nanti di food court?,"Aku pengen cobain sushi, kayaknya enak. Kamu gimana?"
Gunakan bahasa yang romantis namun santai dalam situasi berkencan di mal.,"Ayo, kita ke bioskop nonton film yang lagi hits!",Sounds like a plan! Ada film apa yang lagi pengen kamu tonton?
Gunakan bahasa yang romantis namun santai dalam situasi berkencan di mal.,Kamu mau coba main games di Timezone?,Boleh juga tuh! Siapa tau aku bisa ngalahin kamu di salah satu game.
Gunakan bahasa yang romantis namun santai dalam situasi berkencan di mal.,"Tadi lihat baju bagus banget di etalase, kamu suka nggak?","Iya, lucu banget itu! Cocok banget buat kamu, sayang."
Gunakan bahasa yang romantis namun santai dalam situasi berkencan di mal.,Mau coba dessert di cafe yang baru buka?,"Enaknya coba dessert yang mana, ya? Kamu pilih dulu, nanti aku yang ikut."
Gunakan bahasa yang romantis namun santai dalam situasi berkencan di mal.,"Besok mau ke sini lagi, nggak?",Pasti mau! Bareng kamu di sini rasanya selalu seru.
Gunakan bahasa yang romantis namun santai dalam situasi berkencan di mal.,"Tadi lihat sepatu bagus di sneaker store, pengen beliin kamu.","Serius? Makasih ya, tapi nggak usah kok. Cukup seneng udah sama kamu aja."
Gunakan bahasa yang romantis namun santai dalam situasi berkencan di mal.,"Besok libur, mau jalan-jalan lagi nggak?","Iya, mau banget! Tempatnya kita pilih bareng lagi, ya?"
Gunakan bahasa yang romantis namun santai dalam situasi berkencan di mal.,"Kamu tadi ketemu temen lama, ya?","Iya, tadi kebetulan lewat. Tapi yang paling penting, aku lagi sama kamu sekarang."
Gunakan bahasa yang romantis namun santai dalam situasi berkencan di mal.,"Aku seneng banget hari ini bareng kamu, sayang.","Aku juga seneng banget, sayang. Tiap bareng kamu pasti jadi hari yang spesial."
Gunakan bahasa yang romantis namun santai dalam situasi liburan bersama kekasih.,"Kita harus coba snorkeling besok, ya!",Pasti! Aku udah nggak sabar liat keindahan bawah laut bareng kamu.
Gunakan bahasa yang romantis namun santai dalam situasi liburan bersama kekasih.,"Ayo, kita sewa sepeda dan jalan-jalan keliling pulau ini.",Sepedaan keliling pulau sounds like a perfect plan! Apalagi bareng kamu.
Gunakan bahasa yang romantis namun santai dalam situasi liburan bersama kekasih.,"Kemarin lihat sunset-nya cantik banget, kan?","Iya, nggak nyesel deh kita nungguin sunset bareng. Tapi, kamu yang paling cantik di mataku."
Gunakan bahasa yang romantis namun santai dalam situasi liburan bersama kekasih.,Ayo cari tempat makan yang enak buat dinner malam ini.,"Deal! Cari tempat yang cozy ya, biar dinner-nya makin romantis."
Gunakan bahasa yang romantis namun santai dalam situasi liburan bersama kekasih.,Kita harus foto-foto banyak biar bisa dikenang terus moment ini.,"Iya, aku bawa kamera. Moment bersamamu ini nggak boleh luput dari kenangan."
